class_name,num_batches_synthesized,final_description
M58-Encoder側走行機身,"1. The component has a rigid L-shaped structure.
2. This part features a large central circular hole.
3. There is a rectangular slot near the top edge.
4. Small rectangular slots are positioned near the bottom edge.
5. The part has raised edges along the longer sides.
6. A protruding tab is located on the upper left side.
7. Several smaller holes are arranged symmetrically around the central hole.
8. Rectangular slots are positioned parallel to the longer side of the L-shape.
9. The large circular hole is centrally positioned on the vertical section.
10. Small rectangular protrusions are on the left side near the bottom."
M58-FORK定位固定片,"1. The component features an L-shaped metal bracket with a rectangular profile.
2. This part has a flat base with a slight upward curve.
3. It contains one large circular hole centrally located.
4. There are two elongated slots vertically aligned on the upper section.
5. The part has raised edges along the sides for structural support.
6. Several smaller circular holes are arranged around the central opening.
7. The vertical section features elongated slots symmetrically aligned.
8. A rectangular slot is positioned near the top edge, parallel to the longer edges.
9. The large circular hole is centrally aligned with the slots.
10. The smaller circular holes are near the bottom edge, adjacent to the slots."
M58-FORK定位檢知片,"1. The component has a rigid L-shaped structure with a flat base extending horizontally.
2. This part features a large circular hole centrally located on the flat surface.
3. There is a rectangular slot positioned near the top edge of the flat surface.
4. A smaller rectangular slot is located near the bottom edge.
5. The part has raised edges along the vertical side of the L-shape.
6. Several smaller circular holes are arranged around the central opening.
7. The component has a smooth transition between the L-shape and the flat base.
8. A flat protrusion extends from the bottom section of the L-shape.
9. The large circular hole is centrally aligned with the L-shape's curve.
10. The rectangular slot is positioned parallel to the base and aligned with the vertical side."
M58-FORK拖鏈支撐板,"1. The component is a long, slender rectangular bar with a consistent width.
2. This part features a central elongated slot running vertically.
3. There is a small circular hole near one end of the bar.
4. The part has a slight protrusion along the top side.
5. A small rectangular protrusion is present on one side of the bar.
6. Several smaller holes are arranged around the central opening.
7. The bar has a flat end cap on one side and a slightly rounded end on the opposite side.
8. A small rectangular slot is positioned near the top edge of the bar.
9. The central elongated slot is aligned parallel to the length of the bar.
10. Small circular holes are symmetrically placed on either side of the central slot."
M58-FORK拖鏈支撐板-2,"1. The component has a rectangular profile with rounded corners.
2. This part features a central elongated slot running vertically.
3. It contains a series of evenly spaced holes along the bottom edge.
4. There is a small circular hole near the top left corner.
5. The part has a raised ridge along the left side.
6. Several smaller holes are arranged symmetrically around the central slot.
7. The part has a flat protruding edge on one side.
8. There is a small rectangular notch near the bottom edge.
9. The central slot is flanked by two smaller rectangular slots on either side.
10. The slot is positioned parallel to the longer edge of the rectangle."
M58-FORK驅動軸心,"1. The component is a straight cylindrical rod with a uniform elongated shape.
2. This part features a central circular hole running through its length.
3. There is a small circular indentation near one end.
4. A narrow slot is positioned along the side of the rod.
5. The part has flat ends on both sides.
6. A small rectangular slot is near one end of the rod.
7. The rod has a slight protrusion at one end.
8. There is a rounded tip at the opposite end.
9. The central hole aligns perfectly with the rod's axis.
10. The slot is positioned close to the flat end of the rod."
M58-Fork機身-1,"1. The component features a flat rectangular bar with a consistent width.
2. This part includes a central elongated slot running through the middle.
3. There is a series of evenly spaced small circular holes along the length.
4. The part has a slight upward bend on one end.
5. It contains a rectangular slot near the corner.
6. Small circular holes are evenly spaced around the central slot.
7. The part has slightly raised edges along the top and bottom sides.
8. Several smaller holes are arranged symmetrically around the central opening.
9. The elongated slot is positioned horizontally across the middle.
10. The rectangular slot is centrally located on the bar."
M58-Fork機身-2,"1. The component is a flat rectangular plate with a central rectangular cutout.
2. This part features a series of evenly spaced small holes along the top edge.
3. There is a central rectangular slot dividing the plate.
4. The part has raised edges along the top and bottom sides.
5. Several smaller holes are arranged symmetrically around the central slot.
6. There is a single elongated slot near the center.
7. The part has a rectangular shape with a slight taper towards one end.
8. There is a small rectangular slot near the top edge.
9. The central slot is flanked by two rows of smaller holes.
10. The rectangular slot is positioned centrally on the bottom edge."
M58-Fork機身連接板,"1. The component is a flat rectangular plate with rounded corners.
2. This part features a central elongated slot running horizontally.
3. There is a large circular hole located centrally.
4. The part has a series of evenly spaced holes along the length.
5. It contains a rectangular slot near the edge.
6. There is a U-shaped notch on the right side.
7. The part has raised edges along the left and right sides.
8. Several smaller holes are arranged around the central opening.
9. The central elongated slot is surrounded by smaller holes.
10. The rectangular slot is positioned parallel to the top edge."
M58-Fork馬達固定板,"1. The component is an L-shaped metal bracket with a flat top surface.
2. This part features a large circular hole located centrally.
3. There is a rectangular slot near the top edge.
4. The part has raised edges along the sides.
5. Several smaller holes are arranged around the central opening.
6. Rectangular slots are positioned near the top and bottom edges.
7. The main body features a rigid structure with a flat base and an angled arm.
8. There is a rectangular cutout near the corner.
9. The central circular hole is surrounded by smaller holes.
10. Rectangular cutouts and slots are on various edges."
M58-SENSOR固定片(減速、急停),"1. The component has an L-shaped metal bracket configuration.
2. This part features a large circular hole located centrally.
3. There is a rectangular slot near the bottom edge.
4. The part has raised edges along the longer side.
5. A flat protruding top edge is present.
6. Two small circular holes are aligned vertically near the top.
7. The rectangular slot is positioned parallel to the longer side.
8. The smaller hole is positioned above the central hole.
9. The large circular hole is aligned with the shorter arm.
10. The holes are symmetrically placed on the L-shaped structure."
M58-SENSOR固定片(減速、急停)-2,"1. The component has a flat, elongated rectangular shape with rounded corners.
2. This part features a central oval-shaped cutout.
3. There is a large rectangular slot near the top edge.
4. Two elongated slots are aligned vertically near the center.
5. The part has slightly raised edges along the top and bottom sides.
6. A smaller rectangular slot is positioned below the central oval cutout.
7. The L-shaped metal bracket configuration includes a flat protrusion on the right side.
8. Small circular holes are positioned symmetrically on the lower side.
9. The larger slot is centrally located, with the smaller slot near the top right.
10. Slots and holes are symmetrically arranged on the L-shaped structure."
M58-下封板,"1. The component has an elongated rectangular shape with rounded corners.
2. This part features a central rectangular cutout aligned with the main body.
3. There is a series of evenly spaced small holes along the length.
4. The part includes a rectangular slot positioned parallel to the longer side.
5. Small circular holes are near the top left corner and bottom left corner.
6. A rectangular slot is positioned directly below the central cutout.
7. The part has raised edges along the top and bottom sides.
8. A protruding tab is positioned at the top right corner.
9. Several smaller holes are arranged symmetrically around the central slot.
10. The rectangular slot is positioned centrally near the bottom edge."
