class_name,batch_idx,global_shape,holes_slots,protrusions,relative_positions
M58-Encoder側走行機身,1,"L-shaped metal bracket.
Rectangular base with a cutout section.
Large central hole (circular or oval).","One large central hole (circular or oval).
Multiple small circular holes scattered across the surface.
Rectangular slots near the top and bottom edges.
Small rectangular slots on the right side.
Elongated slots aligned vertically on the side.
Series of evenly spaced small holes along the left edge.
Small square hole near the top right corner.
Small circular hole adjacent to the central opening.
Small rectangular slot near the bottom edge.
Medium-sized circular hole towards the bottom.","Raised edges along the longer sides.
Protruding tab on the upper left side.
Small protrusion on the upper right corner.
Small rectangular protrusions on the left side.
Small square protrusions near the bottom right.
Small protrusions near the bottom right corner.
Raised edge along the bottom side.","Rectangular slot positioned parallel to the longer side.
Smaller holes arranged symmetrically around the central hole.
Rectangular slot positioned adjacent to the large central hole.
Protruding tab located on the vertical leg of the L-shape.
Rectangular slot positioned above the central hole.
Small rectangular protrusion at the bottom right corner.
Rectangular slots aligned parallel to the edges."
M58-Encoder側走行機身,2,"L-shaped metal bracket configuration.
Main body features a rigid structure with a large central circular hole.","One large central circular hole.
Multiple small circular holes distributed across the surface.
Several rectangular slots aligned parallel to the edges.
A smaller circular hole positioned adjacent to the large central hole.
A medium-sized oval slot on the left side.
Two elongated slots aligned vertically on the left side.
A narrow rectangular slot near the bottom edge.
A rectangular slot positioned near the top right corner.","Raised edges along the longer sides.
Two small rectangular protrusions on the right side.
Two small square protrusions on the side.
A protruding tab on the top right corner.","The central hole is surrounded by smaller holes.
Slots are evenly spaced along the length of the component.
The rectangular slot is positioned above the smaller circular hole.
The rectangular slot is aligned parallel to the longer side.
Smaller holes are arranged symmetrically around the central opening."
M58-Encoder側走行機身,3,"L-shaped metal bracket configuration.
Main body features a rigid structure with a large central circular hole.","One large central circular hole.
Multiple small circular holes distributed around the central area.
Rectangular slots near the top and bottom edges.
Elongated slots aligned parallel to the edges.
Series of vertical slots aligned along the left side.","Raised edges along the vertical and horizontal sides.
Protruding tabs at the corners.
Small square protrusions near the bottom.","The large circular hole is centrally positioned on the vertical section.
Smaller holes are arranged symmetrically around the central opening.
Rectangular slots are positioned adjacent to the large circular hole.
Raised edges form a continuous line along the bottom edge."
M58-Encoder側走行機身,4,"L-shaped metal bracket configuration.
Main body features a rigid structure with a central circular hole.","One large circular hole located centrally.
Multiple small circular holes distributed around the central area.
Rectangular slots positioned near the top and bottom edges.
Series of elongated slots aligned horizontally on the left side.
Smaller circular hole adjacent to the large central hole.","Raised edges along the longer sides.
Small protruding tab on the lower right edge.
Two small protrusions near the central hole.
Protruding tab on the top right corner.","Large circular hole is centrally located with smaller holes surrounding it.
Rectangular slot positioned adjacent to the large circular hole.
Smaller holes arranged symmetrically around the central opening.
Rectangular slots positioned symmetrically on both sides of the central hole."
M58-Encoder側走行機身,5,"L-shaped metal bracket with a central circular hole.
Rectangular L-shaped form with a central oval hole in some instances.","One large central circular hole.
Multiple smaller circular holes distributed across the surface.
Rectangular slots near the top and bottom edges.
Series of elongated slots aligned horizontally on the right side.
Two small rectangular slots near the bottom edge.
Series of small holes distributed around the central area.","Raised edges along the sides and longer sides of the bracket.
Small rectangular protrusions on the side and near the bottom.
Protruding tabs at the corners of the L-shape.
Small protruding elements near the holes.","Several smaller holes arranged symmetrically around the central opening.
Rectangular slots positioned parallel to the longer side of the L-shape.
Central circular hole surrounded by smaller holes arranged symmetrically.
Rectangular slot positioned adjacent to the main circular hole.
Protruding section aligns with the central circular hole."
M58-Encoder側走行機身,6,"L-shaped metal bracket configuration.
Main body features a rigid structure.","One large circular hole located centrally.
Multiple small circular holes distributed around the central area.
Rectangular slots near the top and bottom edges.
Elongated slots aligned parallel to the edges.
Small oval-shaped holes towards the middle.","Raised edges along the longer sides.
Small protruding elements near the top corners.
Protruding tab on one side.
Small rectangular protrusion on the upper right corner.","The rectangular slot is positioned above the central hole.
Several smaller holes are aligned around the central opening.
The rectangular slot is aligned parallel to the longer side of the L-shape.
The large circular hole is centrally located with smaller holes around it.
The rectangular slot is positioned adjacent to the large circular hole."
M58-Encoder側走行機身,7,"L-shaped metal bracket configuration.
Main body features a rigid structure.
Rectangular L-shaped form.","One large central circular hole.
Multiple small circular holes distributed around the central area.
Several elongated slots aligned parallel to the edges.
Rectangular slots near the top and bottom edges.
Smaller circular hole below the central one.
Series of small holes aligned vertically or horizontally.","Raised edges along the top and bottom sides.
Protruding tab on the bottom right.
Protruding tab on the upper left corner.
Small protruding elements on the upper side.
Flat base with multiple mounting holes.","Smaller holes arranged symmetrically around the central opening.
Rectangular slot positioned parallel to the longer side of the L-shape.
Rectangular slot positioned adjacent to the central hole.
Smaller hole situated directly below the central circular hole.
Central hole surrounded by a ring of smaller holes."
M58-Encoder側走行機身,8,"L-shaped metal bracket configuration.
Main body features a rigid structure with a central circular hole.","One large circular hole located centrally.
Multiple small circular holes distributed around the central area.
Several elongated slots aligned parallel to the edges.
Two small rectangular holes near the bottom right corner.
Rectangular slots near the top and bottom edges.","Raised edges along the longer sides.
Protruding tabs at the top corners.
Raised edges along the shorter side.
Flat protrusion at the bottom corner.","The rectangular slot is positioned adjacent to the large circular hole.
Several smaller holes are arranged symmetrically around the central opening.
The rectangular slot is positioned parallel to the longer side.
The large circular hole is positioned centrally with smaller holes around it.
The rectangular slot is located near the bottom right edge, adjacent to the large hole."
M58-Encoder側走行機身,9,"L-shaped metal bracket configuration.
Main body features a large central circular hole.","One large central circular hole.
Multiple small circular holes distributed around the central area.
Series of elongated slots aligned vertically on one side.
Rectangular slots near the top and bottom edges.
Smaller circular hole adjacent to the main hole.","Raised edges along the longer sides.
Protruding tab on the upper right corner.
Small rectangular protrusion on the upper corner.","Smaller holes arranged symmetrically around the central circular hole.
Rectangular slot positioned parallel to the main edge and above the central hole.
Raised edges provide structural reinforcement along the sides.
Large circular hole aligned with the rectangular slot."
M58-Encoder側走行機身,10,"L-shaped metal bracket configuration.
Main body features a rigid structure with a large central circular hole.","One large central circular hole.
Multiple smaller circular holes distributed around the central area.
Rectangular slots near the top and bottom edges.
Series of smaller holes along the sides.
Elongated slots aligned vertically on one side.","Raised edges along the vertical side.
Protruding tab on the upper right side.
Raised edges along the top and bottom.
Small protrusions on the right side.
Flat base at the bottom.","Large central circular hole surrounded by smaller holes.
Rectangular slots positioned parallel to the longer side.
Rectangular slot adjacent to the central hole.
Smaller circular holes aligned vertically with the main hole.
Raised edges frame the central circular hole."
M58-Encoder側走行機身,11,"L-shaped metal bracket configuration.
Main body features a rigid structure with a large circular hole in the center.","One large circular hole located centrally.
Multiple small circular holes distributed across the surface.
Several elongated slots aligned vertically or horizontally.
Rectangular slots positioned near the top, bottom, or edges.","Raised edges along the vertical and horizontal sides.
Protruding tabs located at corners or along the sides.
Small rectangular protrusions on specific corners.","Rectangular slots positioned below, adjacent to, or parallel to the central hole.
Smaller holes arranged around the central circular opening.
Protruding tabs located on the side opposite the slots or at corners.
Slots and holes symmetrically positioned on specific sides."
M58-Encoder側走行機身,12,"L-shaped metal bracket configuration.
Main body features a rigid structure with a central hole.","One large central circular hole.
Multiple small circular holes distributed across the surface.
Rectangular slots near the top edge.
Elongated slots aligned horizontally and vertically.
Central oval-shaped cutout.","Raised edges along the sides and corners.
Protruding tabs at the bottom corners.
Small protruding tabs at the corners.","The circular hole is surrounded by smaller circular holes.
Rectangular slots are positioned parallel to the longer side of the L-shape.
Several smaller holes are arranged around the central opening.
The rectangular slot is positioned adjacent to the large circular hole.
Smaller holes are arranged symmetrically around the central opening."
M58-Encoder側走行機身,13,"L-shaped metal bracket configuration.
Main body features a rigid structure with a central circular hole.","One large circular hole located centrally.
Multiple small circular holes distributed across the surface.
Rectangular slot near the top edge.
Series of elongated slots aligned horizontally on the right side.
Long oval-shaped cutout on one side.","Raised edges along the longer sides.
Small protrusions at the corners of the L-shape.
Protruding tab on the bottom right corner.
Raised edges along the vertical side.","Rectangular slot positioned above the central hole.
Smaller holes arranged symmetrically around the central opening.
Rectangular slot positioned parallel to the longer side of the L-shape.
Raised edges parallel to the longer side of the L-shape."
M58-Encoder側走行機身,14,"L-shaped metal bracket configuration.
Main body features a rigid structure with a large central hole.","One large central circular or oval hole.
Multiple small circular holes scattered across the surface.
Rectangular slots near the top and bottom edges.
Series of elongated slots aligned vertically or horizontally.
Small oval-shaped hole adjacent to the central circular hole.","Raised edges along the longer sides.
Small rectangular protrusions on the side.
Protruding tabs at the bottom corners.
Small square protrusion near the bottom edge.","Smaller holes are positioned symmetrically around the central features.
Rectangular slots are aligned parallel to the longer sides.
Slots and holes are positioned symmetrically on both sides.
The central hole is surrounded by four smaller holes.
Rectangular slots are positioned adjacent to the large circular hole."
M58-Encoder側走行機身,15,"L-shaped metal bracket configuration.
Main body features a rigid structure with a large central circular hole.","One large central circular hole.
Multiple small circular holes distributed across the surface.
Several elongated slots aligned parallel to the edges.
Rectangular slots positioned near the top and bottom edges.
Smaller rectangular slot below the large central hole.","Raised edges along the longer sides of the L-shape.
Small square protrusions on the right side.
Small rectangular protrusions near the corners.
Protruding tab at the bottom corner.","Rectangular slot positioned above the central hole.
Smaller holes arranged symmetrically around the central opening.
Elongated slots aligned parallel to the horizontal edge.
Square protrusion located near the bottom right corner.
Central circular hole aligned with the rectangular slot."
M58-Encoder側走行機身,16,"L-shaped metal bracket configuration.
Main body features a large central circular hole.
Rigid structure with a prominent L-shape.","One large central circular hole.
Multiple small circular holes distributed across the surface.
Several rectangular slots near the edges.
Long oval slots on the left and right sides.
Small rectangular protrusions on the left side.
Series of elongated slots aligned horizontally and vertically.","Raised edges along the top and bottom sides.
Small rectangular protrusions on the upper right corner.
Protruding tab on the right side.
Small square protrusions on the left side.
Protruding sections on the horizontal side.","Large circular hole positioned centrally on the L-shape.
Rectangular slots positioned near the top and bottom edges.
Smaller holes arranged symmetrically around the central circular hole.
Rectangular slot positioned adjacent to the large circular hole.
Slots and holes aligned parallel to the edges.
Slots positioned symmetrically on both sides of the L-shape."
M58-Encoder側走行機身,17,"L-shaped metal bracket configuration.
Main body features a rigid structure with a central circular hole.","One large circular hole located centrally.
Multiple small circular holes distributed along the sides and near the bottom edge.
Several elongated slots aligned parallel to the edges, with some vertical and some horizontal.
A rectangular slot near the top edge, adjacent to the central hole.","Raised edges along the vertical side.
Protruding tabs at the top corners and on the bottom right.","The large circular hole is positioned centrally on the horizontal section.
Smaller holes are arranged around the central opening, with some symmetrically placed.
The rectangular slot is positioned above the central circular hole.
The smaller hole is located below and to the left of the main hole."
