class_name,batch_idx,global_shape,holes_slots,protrusions,relative_positions
M58-Encoder側走行機身,1,"L-shaped metal bracket configuration.
Main body features a rigid structure with a rectangular base and cutout section.","One large circular hole located centrally.
Multiple small circular holes distributed across the surface.
Several small rectangular slots near the edges.
Long oval slots positioned on the right and left sides.
Rectangular slots near the top and bottom edges.
Small square hole near the top right corner.
Series of evenly spaced small holes along the left and right edges.","Raised edges along the longer sides.
Small protruding tab on the top right corner.
Small protrusions on the upper right side.
Two small protrusions near the top corners.
Small square protrusions near the bottom right.","Smaller holes arranged symmetrically around the central circular hole.
Rectangular slots positioned parallel to the longer and shorter sides.
Rectangular slot positioned adjacent to the large circular hole.
Protruding tab located on the vertical leg of the L-shape.
Small rectangular slots aligned vertically on the side."
M58-Encoder側走行機身,2,"L-shaped metal bracket configuration.
Main body features a rigid structure with a central hole.","One large circular hole located centrally.
Multiple small circular holes distributed around the central area.
Several small rectangular slots distributed along the sides.
A medium-sized circular hole positioned towards the bottom.
A smaller circular hole adjacent to the large central hole.
A rectangular slot near the top edge.
Two small square holes aligned horizontally near the bottom.
Two small hexagonal holes near the bottom right.
A small rectangular protrusion on the bottom edge.
A small square protrusion on the side.","Raised edges along the longer sides of the L-shape.
Small protrusions near the bottom right corner.
Small rectangular slot near the bottom edge.
Two small square cutouts near the corner.
Small rectangular protrusion visible on the right side.","The large oval hole is positioned centrally on the component.
The rectangular slot is positioned adjacent to the large oval hole.
The rectangular slot is positioned parallel to the longer side.
The small rectangular protrusion is located at the bottom right corner.
The smaller circular hole is situated to the right of the large central hole.
The L-shape is defined by a flat base and a vertical extension.
The central hole is surrounded by smaller holes.
Slots are aligned parallel to the longer edge."
M58-Encoder側走行機身,3,"L-shaped metal bracket configuration.
Main body features a large central circular hole.","One large central circular hole.
Multiple smaller circular holes distributed around the central area.
Several elongated slots aligned parallel to the longer side.
Rectangular slots near the top and bottom edges.
Small oval-shaped holes adjacent to the central circular hole.","Raised edges along the longer sides.
Two small rectangular protrusions on the right side.
Protruding tab on the top right corner.","The central hole is surrounded by multiple smaller holes.
Rectangular slots are positioned parallel to the longer side of the L-shape.
Smaller holes are arranged symmetrically around the central opening.
The rectangular slot is positioned above the smaller circular hole."
M58-Encoder側走行機身,4,"L-shaped metal bracket configuration.
Main body features a large central circular hole.
Rectangular base with a cutout section.","One large central circular hole.
Multiple small circular holes distributed around the central area.
Rectangular slots near the top and bottom edges.
Elongated slots aligned parallel to the edges.
Smaller circular hole below the main one.","Raised edges along the vertical side.
Protruding sections on the horizontal leg.
Protruding tab at the corner.
Raised edges along the sides.
Two small protrusions on the front face.","Smaller holes arranged symmetrically around the central opening.
Rectangular slot positioned adjacent to the large circular hole.
Raised edges form a continuous line along the bottom edge.
Rectangular slots aligned vertically on the left side.
Smaller circular hole positioned adjacent to the rectangular slots."
M58-Encoder側走行機身,5,"L-shaped metal bracket configuration.
Main body features a rigid structure with a large central circular hole.","One large circular hole located centrally.
Multiple small circular holes distributed around the central area.
Rectangular slots near the top and bottom edges.
Series of elongated slots aligned horizontally on the left side.
Small rectangular protrusion visible on the left side.","Raised edges along the top and bottom sides.
Two small protruding elements near the top right corner.
Small protrusion on the right side near the top corner.
Small protruding tab at the bottom corner.
Small protruding tab on the left edge.","The large circular hole is positioned centrally on the L-shape.
Rectangular slots are positioned adjacent to the large circular hole.
Smaller holes are arranged symmetrically around the central opening.
Rectangular slots are aligned parallel to the longer side of the L-shape.
Raised edges form a distinct boundary along the bottom."
M58-Encoder側走行機身,6,"L-shaped metal bracket configuration.
Main body features a rigid structure with a rectangular base and cutout section.","One large circular hole located centrally.
Several smaller circular holes distributed across the surface.
Multiple rectangular slots near the top and bottom edges.
Elongated slots aligned parallel to the longer side.
Series of small holes near the bottom edge.","Raised edges along the longer sides.
Protruding tab on the top right corner.
Small protrusions near the central hole.
Raised edge along the bottom side.","The large circular hole is centrally located with smaller holes surrounding it.
Rectangular slots are positioned symmetrically on both sides of the central hole.
Smaller holes are arranged around the central opening.
Rectangular slot is positioned adjacent to the large circular hole.
Rectangular slot is aligned parallel to the longer side."
M58-Encoder側走行機身,7,"L-shaped metal bracket configuration.
Main body features a rigid structure.","One large circular hole located centrally.
Multiple small circular holes distributed across the surface.
Two elongated slots on the longer side of the L-shape.
Series of small holes distributed around the central area.
Rectangular slots near the top and bottom edges.
Series of elongated slots aligned horizontally on the right side.","Raised edges along the sides and corners.
Small rectangular protrusions on the side.
Protruding tabs at the corners of the L-shape.","Several smaller holes arranged symmetrically around the central opening.
Rectangular slot positioned parallel to the longer side of the L-shape.
Central circular hole surrounded by smaller holes arranged symmetrically.
Rectangular slot positioned adjacent to the main circular hole."
M58-Encoder側走行機身,8,"L-shaped metal bracket configuration.
Main body features a rigid structure with a large central circular hole.","One large central circular hole.
Multiple small circular holes distributed around the central area.
Rectangular slots near the top and bottom edges.
Horizontal and vertical slots aligned parallel to the edges.
Small elongated slots on the upper section.","Raised edges along the longer sides.
Two small protruding elements near the top corners.
Small protruding bolts on the surface.
Raised edges along the vertical side.
Protruding tab on one side.","The central hole is aligned with the shorter side of the L-shape.
Smaller holes are arranged symmetrically around the central hole.
Rectangular slots are positioned adjacent to the large circular hole.
Slots are positioned symmetrically on both sides of the component."
M58-Encoder側走行機身,9,"L-shaped metal bracket configuration.
Main body features a rigid structure.","One large circular hole located centrally.
Multiple small circular holes distributed across the surface.
Several elongated slots aligned parallel to the longer side.
Rectangular slots near the top and bottom edges.
Small square hole adjacent to the oval slot.
Long oval slot positioned on the right side.","Raised edges along the shorter sides.
Series of evenly spaced holes along the longer edge.
Small protrusions on the shorter side.
Flat protrusion on the lower side.
Small rectangular protrusion on the upper right corner.","Smaller holes arranged symmetrically around the central opening.
Rectangular slot positioned adjacent to the large circular hole.
Rectangular slot aligned parallel to the longer edge.
Large circular hole centrally located with smaller holes around it.
Smaller hole positioned below the central circular hole."
M58-Encoder側走行機身,10,"L-shaped metal bracket configuration.
Main body features a rigid structure with a large central circular hole.","One large central circular hole.
Multiple small circular holes distributed around the central area.
Several elongated slots aligned parallel to the edges.
Rectangular slots near the top and bottom edges.
A smaller circular hole below the central one.","Raised edges along the top and bottom sides.
Protruding tab on the bottom right.
Protruding tab on the upper left corner.
Small rectangular protrusions on the side.","The large circular hole is positioned centrally on the vertical section.
Rectangular slots are positioned parallel to the longer side of the L-shape.
Smaller holes are arranged symmetrically around the central opening.
Rectangular slot positioned adjacent to the central hole.
Smaller hole situated directly below the central circular hole."
M58-Encoder側走行機身,11,"L-shaped metal bracket configuration.
Main body features a rigid structure.","One large circular hole located centrally.
Multiple small circular holes distributed across the surface.
Several elongated slots aligned vertically on the side.
Rectangular slot near the top edge.
Rectangular slot near the bottom edge.
Smaller rectangular slot below the central hole.
Two small square holes near the bottom right corner.
Series of elongated slots along the left side.
Two elongated slots on the right side.
Series of linear slots on the side.","Small protrusion on the upper right corner.
Protruding section on the upper left side.
Raised edges along the vertical sides.
Flat protrusion on the top edge.
Small notch on the bottom right.
Raised edges along the longer sides.
Protruding tab on the top left corner.
Raised edges along the shorter side.
Protruding tabs at the top corners.","Several smaller holes arranged around the central opening.
Rectangular slot positioned adjacent to the large circular hole.
Rectangular slot aligned parallel to the longer side of the L-shape.
Central hole surrounded by a ring of smaller holes.
Rectangular slot positioned parallel to the shorter side.
Smaller holes arranged symmetrically around the central opening."
M58-Encoder側走行機身,12,"L-shaped metal bracket configuration.
Main body features a rigid structure.","One large circular hole located centrally.
Multiple small circular holes distributed across the surface.
Several elongated slots aligned parallel to the edges.
Two rectangular slots aligned vertically on the side.
A series of evenly spaced holes along the side.","Raised edges along the top and bottom sides.
Protruding tab at the top left corner.
Two protruding sections on the shorter side.
Raised edges along the vertical side.
Flat protrusion at the bottom corner.","The large circular hole is positioned centrally with smaller holes around it.
The rectangular slot is located near the bottom right edge, adjacent to the large hole.
Smaller holes are arranged symmetrically around the central opening.
The rectangular slot is positioned parallel to the longer side.
The smaller hole is positioned directly beneath the large central hole."
M58-Encoder側走行機身,13,"L-shaped metal bracket configuration.
Main body features a large central circular hole.
Rigid structure with a right-angled bend.","One large central circular hole.
Multiple small circular holes distributed around the central opening.
Series of elongated slots aligned vertically on one side.
Rectangular slots near the top and bottom edges.
Smaller circular hole adjacent to the main hole.","Raised edges along the longer sides.
Protruding tab on the upper right corner.
Small protrusions on the top corners.
Small rectangular protrusion on the upper corner.","Smaller holes arranged symmetrically around the central circular hole.
Rectangular slot positioned parallel to the main edge and above the central hole.
Slots aligned parallel to the longer side of the bracket.
Raised edges provide structural reinforcement along the sides."
